Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1000.00,11040.00,0.00,1000.00,0
1000.00,10901.00,0.00,1000.00,0
1000.00,11142.00,0.00,1000.00,0
1000.00,10839.00,0.00,1000.00,0
1000.00,10901.00,0.00,1000.00,0
1000.00,10857.00,0.00,1000.00,0
1000.00,10858.00,0.00,1000.00,0
1000.00,10968.00,0.00,1000.00,0
1000.00,10968.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11168.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,10698.00,0.00,1000.00,0
1000.00,10839.00,0.00,1000.00,0
1000.00,10864.00,0.00,1000.00,0
1000.00,10935.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,10963.00,0.00,1000.00,0
1000.00,10963.00,0.00,1000.00,0
1000.00,11027.00,0.00,1000.00,0
1000.00,10857.00,0.00,1000.00,0
1000.00,10857.00,0.00,1000.00,0
1000.00,10935.00,0.00,1000.00,0
1000.00,10937.00,0.00,1000.00,0
1000.00,10954.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11142.00,0.00,1000.00,0
